date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2018-07-09,England,Serbia,2,2,CONCACAF Gold Cup,London,England,True
2018-07-10,Croatia,Denmark,2,0,Copa America,Doha,Qatar,False
2018-07-11,Tunisia,Saudi Arabia,2,2,FIFA World Cup qualification,Tunisia City,Tunisia,False
2018-07-16,Scotland,Turkey,2,1,AFC Asian Cup,Scotland City,Scotland,True
2018-07-17,Spain,Sweden,1,0,AFC Asian Cup,Spain City,Spain,False
2018-07-18,Egypt,Australia,2,0,CONCACAF Gold Cup,Egypt City,Egypt,False
2018-07-23,Wales,Czech Republic,1,0,FIFA World Cup qualification,Wales City,Wales,False
2018-07-24,Portugal,Norway,1,0,UEFA Nations League,Doha,Qatar,True
2018-07-25,Nigeria,Qatar,1,0,FIFA World Cup qualification,Nigeria City,Nigeria,False
2018-07-30,France,Chile,2,0,Friendly,Paris,France,False
2018-07-31,Italy,Poland,2,1,CONCACAF Gold Cup,Doha,Qatar,False
2018-08-01,Ghana,Iraq,2,1,CONCACAF Gold Cup,Doha,Qatar,False
2018-08-06,Germany,Peru,1,0,Friendly,Germany City,Germany,False
2018-08-07,Switzerland,Austria,0,1,AFC Asian Cup,Switzerland City,Switzerland,True
2018-08-08,Cameroon,Uzbekistan,1,0,CONCACAF Gold Cup,Cameroon City,Cameroon,False
2018-08-13,Netherlands,Paraguay,2,1,UEFA Nations League,Netherlands City,Netherlands,True
2018-08-14,Morocco,Serbia,1,1,Friendly,Morocco City,Morocco,False
2018-08-15,Algeria,Denmark,0,1,AFC Asian Cup,Algeria City,Algeria,False
2018-08-20,Belgium,Costa Rica,3,0,African Cup of Nations,Belgium City,Belgium,False
2018-08-21,Senegal,Turkey,2,0,Copa America,Doha,Qatar,False
2018-08-22,Japan,Sweden,1,1,Friendly,Japan City,Japan,True
2018-08-27,Croatia,Canada,1,1,AFC Asian Cup,Croatia City,Croatia,False
2018-08-28,Tunisia,Czech Republic,1,0,African Cup of Nations,Tunisia City,Tunisia,False
2018-08-29,South Korea,Norway,1,0,Friendly,South Korea City,South Korea,False
2018-09-03,Spain,Mexico,0,1,African Cup of Nations,Spain City,Spain,False
2018-09-04,Egypt,Chile,2,0,Friendly,Egypt City,Egypt,False
2018-09-05,Iran,Poland,0,0,AFC Asian Cup,Doha,Qatar,False
2018-09-10,Portugal,United States,1,1,Copa America,Portugal City,Portugal,False
2018-09-11,Nigeria,Peru,3,0,AFC Asian Cup,Nigeria City,Nigeria,False
2018-09-12,Saudi Arabia,Austria,2,0,UEFA Nations League,Saudi Arabia City,Saudi Arabia,False
2018-09-17,Italy,Argentina,0,2,Friendly,Italy City,Italy,False
2018-09-18,Ghana,Paraguay,2,0,UEFA Nations League,Ghana City,Ghana,False
2018-09-19,Australia,Serbia,1,2,CONCACAF Gold Cup,Doha,Qatar,False
2018-09-24,Switzerland,Brazil,2,1,AFC Asian Cup,Switzerland City,Switzerland,False
2018-09-25,Cameroon,Costa Rica,2,1,Copa America,Cameroon City,Cameroon,False
2018-09-26,Qatar,Turkey,0,0,Friendly,Qatar City,Qatar,False
2018-10-01,Morocco,Uruguay,0,1,AFC Asian Cup,Morocco City,Morocco,False
2018-10-02,Algeria,Canada,0,0,CONCACAF Gold Cup,Algeria City,Algeria,True
2018-10-03,Iraq,Czech Republic,0,1,AFC Asian Cup,Iraq City,Iraq,True
2018-10-08,Senegal,Colombia,0,1,African Cup of Nations,Senegal City,Senegal,False
2018-10-09,Japan,Mexico,1,0,Friendly,Japan City,Japan,False
2018-10-10,Uzbekistan,Chile,0,0,CONCACAF Gold Cup,Uzbekistan City,Uzbekistan,False
2018-10-15,Tunisia,Ecuador,3,0,Copa America,Tunisia City,Tunisia,True
2018-10-16,South Korea,United States,1,2,Copa America,Doha,Qatar,True
2018-10-17,Denmark,Peru,2,2,CONCACAF Gold Cup,Denmark City,Denmark,True
2018-10-22,Egypt,England,1,1,AFC Asian Cup,Egypt City,Egypt,False
2018-10-23,Iran,Argentina,1,0,African Cup of Nations,Iran City,Iran,True
2018-10-24,Sweden,Paraguay,1,1,AFC Asian Cup,Sweden City,Sweden,False
2018-10-29,Nigeria,Scotland,2,0,African Cup of Nations,Doha,Qatar,False
2018-10-30,Saudi Arabia,Brazil,0,3,UEFA Nations League,Saudi Arabia City,Saudi Arabia,False
2018-10-31,Norway,Costa Rica,2,0,Friendly,Doha,Qatar,True
2018-11-05,Ghana,Wales,0,1,AFC Asian Cup,Ghana City,Ghana,False
2018-11-06,Australia,Uruguay,2,1,AFC Asian Cup,Australia City,Australia,True
2018-11-07,Poland,Canada,0,0,CONCACAF Gold Cup,Poland City,Poland,False
2018-11-12,Cameroon,France,0,1,UEFA Nations League,Cameroon City,Cameroon,False
2018-11-13,Qatar,Colombia,0,2,Copa America,Qatar City,Qatar,False
2018-11-14,Austria,Mexico,0,3,African Cup of Nations,Austria City,Austria,False
2018-11-19,Algeria,Germany,1,1,Friendly,Algeria City,Algeria,True
2018-11-20,Iraq,Ecuador,0,1,AFC Asian Cup,Doha,Qatar,True
2018-11-21,Serbia,United States,0,0,African Cup of Nations,Doha,Qatar,True
2018-11-26,Japan,Netherlands,0,0,UEFA Nations League,Japan City,Japan,False
2018-11-27,Uzbekistan,England,2,1,Friendly,Doha,Qatar,True
2018-11-28,Turkey,Argentina,0,1,Copa America,Turkey City,Turkey,False
2018-12-03,South Korea,Belgium,0,2,Friendly,South Korea City,South Korea,False
2018-12-04,Denmark,Scotland,1,0,Friendly,Denmark City,Denmark,False
2018-12-05,Czech Republic,Brazil,0,0,African Cup of Nations,Czech Republic City,Czech Republic,False
2019-01-14,Iran,Spain,2,2,Friendly,Doha,Qatar,True
2019-01-15,Sweden,France,0,2,CONCACAF Gold Cup,Sweden City,Sweden,False
2019-01-16,Chile,Colombia,0,0,Copa America,Chile City,Chile,False
2019-01-21,Saudi Arabia,Portugal,2,0,Copa America,Saudi Arabia City,Saudi Arabia,True
2019-01-22,Norway,Germany,0,1,AFC Asian Cup,Norway City,Norway,True
2019-01-23,Peru,Ecuador,0,4,African Cup of Nations,Peru City,Peru,True
2019-01-28,Australia,Italy,2,1,African Cup of Nations,Australia City,Australia,True
2019-01-29,Poland,Netherlands,0,1,African Cup of Nations,Poland City,Poland,False
2019-01-30,Paraguay,England,0,0,Friendly,Paraguay City,Paraguay,False
2019-02-04,Qatar,Switzerland,0,0,African Cup of Nations,Qatar City,Qatar,True
2019-02-05,Austria,Belgium,0,1,Copa America,Austria City,Austria,False
2019-02-06,Costa Rica,Scotland,2,0,CONCACAF Gold Cup,Doha,Qatar,False
2019-02-07,Canada,Wales,0,0,UEFA Nations League,Canada City,Canada,False
2019-02-11,Iraq,Morocco,0,3,AFC Asian Cup,Iraq City,Iraq,False
2019-02-12,Serbia,Croatia,0,2,CONCACAF Gold Cup,Doha,Qatar,False
2019-02-14,Mexico,France,1,1,African Cup of Nations,Mexico City,Mexico,False
2019-02-18,Uzbekistan,Senegal,2,0,African Cup of Nations,Uzbekistan City,Uzbekistan,False
2019-02-19,Turkey,Spain,0,1,African Cup of Nations,Turkey City,Turkey,False
2019-02-21,United States,Germany,1,2,Copa America,Los Angeles,United States,False
2019-02-25,Denmark,Tunisia,2,1,Copa America,Doha,Qatar,False
2019-02-26,Czech Republic,Portugal,1,1,UEFA Nations League,Czech Republic City,Czech Republic,False
2019-02-28,Argentina,Netherlands,2,2,FIFA World Cup qualification,Buenos Aires,Argentina,False
2019-03-04,Sweden,Egypt,1,1,CONCACAF Gold Cup,Sweden City,Sweden,False
2019-03-05,Chile,Italy,0,1,AFC Asian Cup,Doha,Qatar,True
2019-03-07,Brazil,Belgium,2,2,Copa America,Rio de Janeiro,Brazil,True
2019-03-11,Norway,Nigeria,0,1,African Cup of Nations,Norway City,Norway,True
2019-03-12,Peru,Switzerland,0,4,FIFA World Cup qualification,Peru City,Peru,False
2019-03-14,Uruguay,Croatia,2,0,African Cup of Nations,Uruguay City,Uruguay,True
2019-03-18,Poland,Ghana,1,0,Copa America,Poland City,Poland,True
2019-03-19,Paraguay,Morocco,0,2,Copa America,Paraguay City,Paraguay,True
2019-03-21,Colombia,Spain,0,0,AFC Asian Cup,Colombia City,Colombia,False
2019-03-25,Austria,Cameroon,1,0,UEFA Nations League,Doha,Qatar,False
2019-03-26,Costa Rica,Senegal,0,2,AFC Asian Cup,Doha,Qatar,False
2019-03-27,Canada,Tunisia,2,0,CONCACAF Gold Cup,Canada City,Canada,False
2019-03-28,Ecuador,Portugal,1,1,UEFA Nations League,Ecuador City,Ecuador,True
2019-04-01,Serbia,Algeria,1,0,CONCACAF Gold Cup,Serbia City,Serbia,True
2019-04-03,Mexico,Egypt,1,0,African Cup of Nations,Mexico City,Mexico,False
2019-04-04,England,Italy,3,0,Copa America,London,England,True
2019-04-08,Turkey,Japan,0,1,African Cup of Nations,Turkey City,Turkey,False
2019-04-10,United States,Nigeria,1,0,African Cup of Nations,Los Angeles,United States,False
2019-04-11,Scotland,Switzerland,1,1,Friendly,Scotland City,Scotland,False
2019-04-15,Czech Republic,South Korea,1,2,AFC Asian Cup,Czech Republic City,Czech Republic,False
2019-04-17,Argentina,Ghana,2,0,Copa America,Buenos Aires,Argentina,False
2019-04-18,Wales,Morocco,0,1,FIFA World Cup qualification,Doha,Qatar,True
2019-04-22,Chile,Iran,0,2,Friendly,Doha,Qatar,False
2019-04-24,Brazil,Cameroon,0,0,Copa America,Rio de Janeiro,Brazil,False
2019-04-25,France,Senegal,2,0,Friendly,Paris,France,True
2019-04-29,Peru,Saudi Arabia,0,2,Friendly,Doha,Qatar,False
2019-05-01,Uruguay,Algeria,1,0,Friendly,Uruguay City,Uruguay,False
2019-05-02,Germany,Tunisia,1,0,FIFA World Cup qualification,Germany City,Germany,False
2019-05-06,Paraguay,Australia,0,1,CONCACAF Gold Cup,Doha,Qatar,False
2019-05-08,Colombia,Japan,1,0,African Cup of Nations,Colombia City,Colombia,False
2019-05-09,Netherlands,Egypt,2,1,African Cup of Nations,Netherlands City,Netherlands,False
2019-05-13,Costa Rica,Qatar,1,0,Copa America,Costa Rica City,Costa Rica,False
2019-05-14,Canada,Iraq,1,0,FIFA World Cup qualification,Canada City,Canada,True
2019-05-15,Ecuador,South Korea,1,2,CONCACAF Gold Cup,Ecuador City,Ecuador,False
2019-05-16,Belgium,Nigeria,1,0,UEFA Nations League,Belgium City,Belgium,False
2019-05-21,Mexico,Uzbekistan,2,2,Copa America,Mexico City,Mexico,True
2019-05-22,England,Iran,3,0,Friendly,London,England,False
2019-05-23,Croatia,Ghana,2,0,FIFA World Cup qualification,Croatia City,Croatia,False
2019-05-28,United States,Denmark,0,0,UEFA Nations League,Los Angeles,United States,False
2019-05-29,Scotland,Saudi Arabia,1,2,AFC Asian Cup,Scotland City,Scotland,True
2019-05-30,Spain,Cameroon,1,0,Friendly,Spain City,Spain,False
2019-06-04,Argentina,Sweden,2,0,Copa America,Buenos Aires,Argentina,True
2019-06-05,Wales,Australia,1,1,CONCACAF Gold Cup,Wales City,Wales,True
2019-06-06,Portugal,Algeria,3,0,UEFA Nations League,Portugal City,Portugal,False
2019-06-11,Brazil,Norway,0,0,CONCACAF Gold Cup,Rio de Janeiro,Brazil,False
2019-06-12,France,Qatar,0,1,FIFA World Cup qualification,Paris,France,False
2019-06-13,Italy,Japan,1,0,CONCACAF Gold Cup,Italy City,Italy,False
2019-06-18,Uruguay,Poland,2,0,UEFA Nations League,Uruguay City,Uruguay,False
2019-06-19,Germany,Iraq,1,0,Copa America,Germany City,Germany,False
2019-06-20,Switzerland,South Korea,0,0,UEFA Nations League,Switzerland City,Switzerland,False
2019-06-25,Colombia,Austria,0,0,Copa America,Colombia City,Colombia,True
2019-06-26,Netherlands,Uzbekistan,2,0,CONCACAF Gold Cup,Netherlands City,Netherlands,True
2019-06-27,Morocco,Iran,0,0,Copa America,Morocco City,Morocco,False
2019-07-02,Ecuador,Serbia,0,0,CONCACAF Gold Cup,Ecuador City,Ecuador,False
2019-07-03,Belgium,Denmark,0,0,AFC Asian Cup,Doha,Qatar,True
2019-07-04,Senegal,Saudi Arabia,1,0,Copa America,Senegal City,Senegal,False
2019-07-09,England,Turkey,0,0,UEFA Nations League,London,England,True
2019-07-10,Croatia,Sweden,1,0,AFC Asian Cup,Croatia City,Croatia,True
2019-07-11,Tunisia,Australia,1,0,CONCACAF Gold Cup,Tunisia City,Tunisia,True
2019-07-16,Scotland,Czech Republic,2,1,UEFA Nations League,Scotland City,Scotland,True
2019-07-17,Spain,Norway,1,0,Copa America,Spain City,Spain,True
2019-07-18,Egypt,Qatar,2,2,FIFA World Cup qualification,Egypt City,Egypt,True
2019-07-23,Wales,Chile,0,0,African Cup of Nations,Wales City,Wales,False
2019-07-24,Portugal,Poland,2,2,Friendly,Portugal City,Portugal,False
2019-07-25,Nigeria,Iraq,1,2,Friendly,Doha,Qatar,False
2019-07-30,France,Peru,3,2,AFC Asian Cup,Paris,France,False
2019-07-31,Italy,Austria,1,1,AFC Asian Cup,Italy City,Italy,False
2019-08-01,Ghana,Uzbekistan,2,0,CONCACAF Gold Cup,Doha,Qatar,False
2019-08-06,Germany,Paraguay,1,0,CONCACAF Gold Cup,Germany City,Germany,False
2019-08-07,Switzerland,Serbia,2,0,Friendly,Switzerland City,Switzerland,False
2019-08-08,Cameroon,Denmark,1,0,FIFA World Cup qualification,Cameroon City,Cameroon,False
2019-08-13,Netherlands,Costa Rica,3,1,Friendly,Netherlands City,Netherlands,True
2019-08-14,Morocco,Turkey,1,1,UEFA Nations League,Doha,Qatar,False
2019-08-15,Algeria,Sweden,0,1,UEFA Nations League,Algeria City,Algeria,False
2019-08-20,Belgium,Canada,2,0,AFC Asian Cup,Belgium City,Belgium,False
2019-08-21,Senegal,Czech Republic,1,0,African Cup of Nations,Senegal City,Senegal,True
2019-08-22,Japan,Norway,2,1,UEFA Nations League,Japan City,Japan,True
2019-08-27,Croatia,Mexico,0,1,Copa America,Croatia City,Croatia,False
2019-08-28,Tunisia,Chile,0,0,Friendly,Tunisia City,Tunisia,True
2019-08-29,South Korea,Poland,2,1,Copa America,South Korea City,South Korea,True
2019-09-03,Spain,United States,1,1,UEFA Nations League,Spain City,Spain,False
2019-09-04,Egypt,Peru,1,0,Friendly,Doha,Qatar,True
2019-09-05,Iran,Austria,0,1,Copa America,Iran City,Iran,True
2019-09-10,Portugal,Argentina,1,0,Friendly,Portugal City,Portugal,True
2019-09-11,Nigeria,Paraguay,0,1,CONCACAF Gold Cup,Nigeria City,Nigeria,False
2019-09-12,Saudi Arabia,Serbia,0,0,Copa America,Saudi Arabia City,Saudi Arabia,False
2019-09-17,Italy,Brazil,0,0,Friendly,Doha,Qatar,False
2019-09-18,Ghana,Costa Rica,0,2,UEFA Nations League,Doha,Qatar,False
2019-09-19,Australia,Turkey,2,0,UEFA Nations League,Australia City,Australia,True
2019-09-24,Switzerland,Uruguay,0,0,AFC Asian Cup,Switzerland City,Switzerland,False
2019-09-25,Cameroon,Canada,1,0,Copa America,Cameroon City,Cameroon,True
2019-09-26,Qatar,Czech Republic,0,0,African Cup of Nations,Qatar City,Qatar,False
2019-10-01,Morocco,Colombia,1,1,African Cup of Nations,Doha,Qatar,False
2019-10-02,Algeria,Mexico,2,1,AFC Asian Cup,Algeria City,Algeria,True
2019-10-03,Iraq,Chile,0,1,UEFA Nations League,Iraq City,Iraq,False
2019-10-08,Senegal,Ecuador,0,0,Friendly,Senegal City,Senegal,False
2019-10-09,Japan,United States,0,0,African Cup of Nations,Japan City,Japan,True
2019-10-10,Uzbekistan,Peru,0,2,UEFA Nations League,Uzbekistan City,Uzbekistan,False
2019-10-15,Tunisia,England,0,0,UEFA Nations League,Tunisia City,Tunisia,False
2019-10-16,South Korea,Argentina,2,1,Copa America,South Korea City,South Korea,False
2019-10-17,Denmark,Paraguay,2,1,Friendly,Doha,Qatar,False
2019-10-22,Egypt,Scotland,0,2,Copa America,Egypt City,Egypt,False
2019-10-23,Iran,Brazil,0,2,FIFA World Cup qualification,Iran City,Iran,True
2019-10-24,Sweden,Costa Rica,0,0,African Cup of Nations,Sweden City,Sweden,True
2019-10-29,Nigeria,Wales,2,1,Copa America,Nigeria City,Nigeria,False
2019-10-30,Saudi Arabia,Uruguay,0,2,FIFA World Cup qualification,Doha,Qatar,False
2019-10-31,Norway,Canada,3,1,Copa America,Doha,Qatar,False
2019-11-05,Ghana,France,0,1,Copa America,Ghana City,Ghana,True
2019-11-06,Australia,Colombia,0,1,CONCACAF Gold Cup,Australia City,Australia,False
2019-11-07,Poland,Mexico,1,0,UEFA Nations League,Doha,Qatar,False
2019-11-12,Cameroon,Germany,0,0,African Cup of Nations,Doha,Qatar,False
2019-11-13,Qatar,Ecuador,0,0,Copa America,Qatar City,Qatar,False
2019-11-14,Austria,United States,1,0,FIFA World Cup qualification,Austria City,Austria,False
2019-11-19,Algeria,Netherlands,0,2,AFC Asian Cup,Algeria City,Algeria,False
2019-11-20,Iraq,England,0,2,CONCACAF Gold Cup,Iraq City,Iraq,False
2019-11-21,Serbia,Argentina,1,0,Copa America,Doha,Qatar,False
2019-11-26,Japan,Belgium,0,2,UEFA Nations League,Japan City,Japan,False
2019-11-27,Uzbekistan,Scotland,0,1,Friendly,Uzbekistan City,Uzbekistan,False
2019-11-28,Turkey,Brazil,1,2,FIFA World Cup qualification,Turkey City,Turkey,False
2019-12-03,South Korea,Croatia,0,2,UEFA Nations League,South Korea City,South Korea,False
2019-12-04,Denmark,Wales,1,2,FIFA World Cup qualification,Denmark City,Denmark,False
2019-12-05,Czech Republic,Uruguay,0,2,AFC Asian Cup,Czech Republic City,Czech Republic,True
2020-01-14,Iran,Portugal,0,0,African Cup of Nations,Iran City,Iran,False
2020-01-15,Sweden,Germany,0,1,African Cup of Nations,Sweden City,Sweden,False
2020-01-16,Chile,Ecuador,0,2,Copa America,Doha,Qatar,False
2020-01-21,Saudi Arabia,Italy,0,1,CONCACAF Gold Cup,Saudi Arabia City,Saudi Arabia,True
2020-01-22,Norway,Netherlands,0,2,FIFA World Cup qualification,Norway City,Norway,False
2020-01-23,Peru,England,2,2,Friendly,Doha,Qatar,False
2020-01-28,Australia,Switzerland,1,1,AFC Asian Cup,Doha,Qatar,True
2020-01-29,Poland,Belgium,1,2,Copa America,Poland City,Poland,True
2020-01-30,Paraguay,Scotland,0,2,AFC Asian Cup,Paraguay City,Paraguay,False
2020-02-04,Qatar,Morocco,1,1,Copa America,Qatar City,Qatar,False
2020-02-05,Austria,Croatia,1,1,Copa America,Doha,Qatar,False
2020-02-06,Costa Rica,Wales,0,1,African Cup of Nations,Doha,Qatar,True
2020-02-07,Canada,France,1,0,AFC Asian Cup,Canada City,Canada,False
2020-02-11,Iraq,Senegal,0,1,African Cup of Nations,Iraq City,Iraq,False
2020-02-12,Serbia,Spain,1,0,FIFA World Cup qualification,Serbia City,Serbia,False
2020-02-14,Mexico,Germany,0,1,AFC Asian Cup,Mexico City,Mexico,True
2020-02-18,Uzbekistan,Tunisia,0,2,African Cup of Nations,Uzbekistan City,Uzbekistan,False
2020-02-19,Turkey,Portugal,0,2,AFC Asian Cup,Turkey City,Turkey,False
2020-02-21,United States,Netherlands,2,3,Copa America,Los Angeles,United States,False
2020-02-25,Denmark,Egypt,2,1,AFC Asian Cup,Doha,Qatar,True
2020-02-26,Czech Republic,Italy,0,2,Copa America,Doha,Qatar,False
2020-02-28,Argentina,Belgium,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2020-03-03,Sweden,Nigeria,0,0,FIFA World Cup qualification,Doha,Qatar,False
2020-03-04,Chile,Switzerland,0,1,CONCACAF Gold Cup,Chile City,Chile,False
2020-03-06,Brazil,Croatia,1,0,Copa America,Rio de Janeiro,Brazil,False
2020-03-10,Norway,Ghana,0,2,CONCACAF Gold Cup,Norway City,Norway,True
2020-03-11,Peru,Morocco,1,1,African Cup of Nations,Doha,Qatar,False
2020-03-13,Uruguay,Spain,2,1,AFC Asian Cup,Uruguay City,Uruguay,False
2020-03-17,Poland,Cameroon,1,0,African Cup of Nations,Poland City,Poland,True
2020-03-18,Paraguay,Senegal,0,1,CONCACAF Gold Cup,Paraguay City,Paraguay,True
2020-03-20,Colombia,Portugal,2,0,Friendly,Colombia City,Colombia,False
2020-03-24,Austria,Algeria,1,0,AFC Asian Cup,Austria City,Austria,False
2020-03-25,Costa Rica,Tunisia,0,0,FIFA World Cup qualification,Costa Rica City,Costa Rica,True
2020-03-26,Canada,Egypt,1,2,African Cup of Nations,Canada City,Canada,False
2020-03-27,Ecuador,Italy,0,1,Friendly,Ecuador City,Ecuador,True
2020-03-31,Serbia,Japan,2,1,UEFA Nations League,Serbia City,Serbia,False
2020-04-02,Mexico,Nigeria,1,0,Friendly,Mexico City,Mexico,False
2020-04-03,England,Switzerland,3,0,UEFA Nations League,London,England,False
2020-04-07,Turkey,South Korea,1,0,Copa America,Turkey City,Turkey,False
2020-04-09,United States,Ghana,1,0,Copa America,Los Angeles,United States,False
2020-04-10,Scotland,Morocco,1,2,African Cup of Nations,Scotland City,Scotland,False
2020-04-14,Czech Republic,Iran,0,1,Copa America,Czech Republic City,Czech Republic,True
2020-04-16,Argentina,Cameroon,3,0,Copa America,Buenos Aires,Argentina,True
2020-04-17,Wales,Senegal,2,1,FIFA World Cup qualification,Wales City,Wales,True
2020-04-21,Chile,Saudi Arabia,2,1,Copa America,Chile City,Chile,False
2020-04-23,Brazil,Algeria,3,0,AFC Asian Cup,Rio de Janeiro,Brazil,False
2020-04-24,France,Tunisia,2,1,UEFA Nations League,Paris,France,False
2020-04-28,Peru,Australia,1,1,CONCACAF Gold Cup,Peru City,Peru,True
2020-04-30,Uruguay,Japan,0,2,AFC Asian Cup,Uruguay City,Uruguay,False
2020-05-01,Germany,Egypt,0,1,AFC Asian Cup,Germany City,Germany,False
2020-05-05,Paraguay,Qatar,1,1,UEFA Nations League,Doha,Qatar,False
2020-05-07,Colombia,South Korea,2,0,AFC Asian Cup,Colombia City,Colombia,True
2020-05-08,Netherlands,Nigeria,3,0,UEFA Nations League,Netherlands City,Netherlands,False
2020-05-12,Costa Rica,Iraq,2,0,African Cup of Nations,Costa Rica City,Costa Rica,False
2020-05-13,Canada,Uzbekistan,0,0,FIFA World Cup qualification,Canada City,Canada,False
2020-05-14,Ecuador,Iran,2,1,Copa America,Ecuador City,Ecuador,True
2020-05-15,Belgium,Ghana,3,0,CONCACAF Gold Cup,Belgium City,Belgium,False
2020-05-20,Mexico,Denmark,0,2,AFC Asian Cup,Mexico City,Mexico,True
2020-05-21,England,Saudi Arabia,2,0,AFC Asian Cup,London,England,True
2020-05-22,Croatia,Cameroon,4,1,AFC Asian Cup,Croatia City,Croatia,True
2020-05-27,United States,Sweden,1,0,AFC Asian Cup,Los Angeles,United States,False
2020-05-28,Scotland,Australia,0,0,AFC Asian Cup,Scotland City,Scotland,False
2020-05-29,Spain,Algeria,1,1,Friendly,Doha,Qatar,False
2020-06-03,Argentina,Norway,2,0,Friendly,Buenos Aires,Argentina,False
2020-06-04,Wales,Qatar,0,0,African Cup of Nations,Doha,Qatar,False
2020-06-05,Portugal,Japan,2,0,African Cup of Nations,Portugal City,Portugal,True
2020-06-10,Brazil,Poland,2,0,AFC Asian Cup,Rio de Janeiro,Brazil,False
2020-06-11,France,Iraq,3,0,Copa America,Paris,France,False
2020-06-12,Italy,South Korea,1,0,African Cup of Nations,Italy City,Italy,False
2020-06-17,Uruguay,Austria,2,1,UEFA Nations League,Doha,Qatar,False
2020-06-18,Germany,Uzbekistan,1,0,African Cup of Nations,Germany City,Germany,True
2020-06-19,Switzerland,Iran,0,0,UEFA Nations League,Doha,Qatar,False
2020-06-24,Colombia,Serbia,1,0,UEFA Nations League,Colombia City,Colombia,False
2020-06-25,Netherlands,Denmark,2,0,CONCACAF Gold Cup,Netherlands City,Netherlands,False
2020-06-26,Morocco,Saudi Arabia,2,1,African Cup of Nations,Morocco City,Morocco,False
2020-07-01,Ecuador,Turkey,1,2,Copa America,Ecuador City,Ecuador,False
2020-07-02,Belgium,Sweden,1,1,UEFA Nations League,Belgium City,Belgium,True
2020-07-03,Senegal,Australia,1,0,UEFA Nations League,Senegal City,Senegal,False
2020-07-08,England,Czech Republic,1,0,UEFA Nations League,London,England,True
2020-07-09,Croatia,Norway,2,0,CONCACAF Gold Cup,Croatia City,Croatia,False
2020-07-10,Tunisia,Qatar,2,1,UEFA Nations League,Tunisia City,Tunisia,False
2020-07-15,Scotland,Chile,1,1,Copa America,Scotland City,Scotland,False
2020-07-16,Spain,Poland,2,0,FIFA World Cup qualification,Spain City,Spain,False
2020-07-17,Egypt,Iraq,1,1,Friendly,Egypt City,Egypt,False
2020-07-22,Wales,Peru,1,0,AFC Asian Cup,Wales City,Wales,False
2020-07-23,Portugal,Austria,0,1,African Cup of Nations,Doha,Qatar,False
2020-07-24,Nigeria,Uzbekistan,0,0,Copa America,Nigeria City,Nigeria,True
2020-07-29,France,Paraguay,2,1,AFC Asian Cup,Paris,France,True
2020-07-30,Italy,Serbia,1,1,African Cup of Nations,Italy City,Italy,False
2020-07-31,Ghana,Denmark,0,0,CONCACAF Gold Cup,Doha,Qatar,True
2020-08-05,Germany,Costa Rica,2,0,FIFA World Cup qualification,Germany City,Germany,False
2020-08-06,Switzerland,Turkey,1,1,African Cup of Nations,Switzerland City,Switzerland,False
2020-08-07,Cameroon,Sweden,2,0,FIFA World Cup qualification,Cameroon City,Cameroon,False
2020-08-12,Netherlands,Canada,2,0,Copa America,Doha,Qatar,False
2020-08-13,Morocco,Czech Republic,1,1,Friendly,Morocco City,Morocco,False
2020-08-14,Algeria,Norway,0,1,AFC Asian Cup,Algeria City,Algeria,False
2020-08-19,Belgium,Mexico,0,2,CONCACAF Gold Cup,Belgium City,Belgium,False
2020-08-20,Senegal,Chile,1,1,CONCACAF Gold Cup,Senegal City,Senegal,True
2020-08-21,Japan,Poland,1,1,AFC Asian Cup,Japan City,Japan,False
2020-08-26,Croatia,United States,2,1,Copa America,Croatia City,Croatia,False
2020-08-27,Tunisia,Peru,0,1,African Cup of Nations,Doha,Qatar,False
2020-08-28,South Korea,Austria,0,1,Copa America,South Korea City,South Korea,False
2020-09-02,Spain,Argentina,0,2,CONCACAF Gold Cup,Spain City,Spain,False
2020-09-03,Egypt,Paraguay,2,0,CONCACAF Gold Cup,Egypt City,Egypt,False
2020-09-04,Iran,Serbia,2,2,CONCACAF Gold Cup,Iran City,Iran,False
2020-09-09,Portugal,Brazil,2,0,UEFA Nations League,Portugal City,Portugal,True
2020-09-10,Nigeria,Costa Rica,1,1,African Cup of Nations,Doha,Qatar,False
2020-09-11,Saudi Arabia,Turkey,0,2,Copa America,Saudi Arabia City,Saudi Arabia,False
2020-09-16,Italy,Uruguay,1,1,FIFA World Cup qualification,Italy City,Italy,False
2020-09-17,Ghana,Canada,0,1,African Cup of Nations,Ghana City,Ghana,True
2020-09-18,Australia,Czech Republic,2,0,UEFA Nations League,Australia City,Australia,False
2020-09-23,Switzerland,Colombia,3,1,FIFA World Cup qualification,Doha,Qatar,True
2020-09-24,Cameroon,Mexico,1,0,FIFA World Cup qualification,Cameroon City,Cameroon,False
2020-09-25,Qatar,Chile,2,1,CONCACAF Gold Cup,Doha,Qatar,False
2020-09-30,Morocco,Ecuador,3,0,Copa America,Morocco City,Morocco,True
2020-10-01,Algeria,United States,0,1,Copa America,Doha,Qatar,False
2020-10-02,Iraq,Peru,0,0,Friendly,Iraq City,Iraq,False
2020-10-07,Senegal,England,1,3,UEFA Nations League,Senegal City,Senegal,False
2020-10-08,Japan,Argentina,1,1,CONCACAF Gold Cup,Japan City,Japan,False
2020-10-09,Uzbekistan,Paraguay,1,2,Copa America,Doha,Qatar,False
